code_l33;nom_operateur
AISN;Aisne THD
ATHD;Auvergne Très Haut Débit
CAPS;CAPS Très Haut Débit
CMIN;Chartres Métropole Innovations Numériques (CM'IN)
DETE;Debitex Telecom
DLFE;Doubs La Fibre
BART;Dunkerque Grand Littoral Networks
EULH;Eure et Loir THD
EURK;Eurek@
FIBR;Fibreso
FREE;Free Infrastructure
GOTE;Go Telecom
GDHD;Grand Dax Très Haut Débit
GRNE;Gravelines Network
INOL;Inolia
LTHD;Laval THD
LOIR;Loiret THD
MANC;Manche Telecom
ONUM;Oise Numérique
FRTE;Orange
RC08;Régie de Chooz
REFO;Régie d'Exploitation de la Fibre Optique de Saint-Quentin-en-Yvelines (Quentiop)
CO92;Covage 92
NETP;Resoptic
SETE;Sequantic Telecom
SETR;Seine Essonne Très Haut Débit
SFR0;Société Française du Radiotéléphone (SFR)
SOGA;Solstice Grand Angoulême
SPTH;Société paloise pour le très haut débit (SPTHD)
SRR;Societe Reunionnaise du Radiotelephone (SRR)
SPLS;SPL Sainte-Anne 2.0
SIEA;Syndicat Intercommunal d'énergie et de e-communication de l'Ain (SIEA)
TDSP;Tutor 2 Sarres
DSP1;Tutor Calvados
TUTO;Tutor Côte Fleurie
TEES;Tutor Europ'Essonne
TUMO;Tutor Moulins-les-Metz
TTNY;Tutor Nancy
VALO;Valofibre
VANN;Vannes Agglo Numérique
VANU;Vaucluse Numérique
WAFI;Warndt Fibre
GUYA;Guyacom
BEFO;BERRY FIBRE OPTIQUE
PACT;Provence Alpes ConnecT (PACT)
SART;Sarthe Numérique
NIVE;Nivertel
REUN;Réunicable SAS
THD4;THD42 Exploitation (SIEL)
THD7;THD 73
SMTH;Seine-et-Marne THD 
TUD6;Tutor Somme
MNUM;Manche Numérique
UPCF;SFR Fibre SAS
OPTE;Opalys Telecom
CCPB;Communauté de communes du Pays de Bitche
TERA;e-Tera
GAZE;Régie gaz et électricité de Sallanches (RGES)
AVSC;Audio Visuel et Systèmes de Communication (ASC) 
THD5;THD 59-62
THD6;THD 06
THDT;THD Tel
FAFO;Fibragglo
ROSA;Rosace Fibre
ISER;Isère Fibre
VOFI;Val d'Oise Fibre
COAG;Covage THD
MONU;Moselle Numérique
YVFI;Yvelines Fibre
WIGA;Wigard
ADTH;ADTIM FttH
AQTH;Nouvelle-Aquitaine THD
EMER;Emeraude THD
NET4;Net 48
LOSA;Losange Fibre
DSPT;Hérault THD
ENTH;Essonne numérique Très Haut Débit
S@RT;S@rtel
VENU;Vendée Numérique
LRCA;La Rochelle THD
BFCF;BFC Fibre
AXTD;Alliance Très Haut Débit
ARTD;Arriège Très Haut Débit
CMTD;Charente-Maritime Très Haut Débit
GTHD;Gironde Très Haut Débit
MAYE;Mayenne Fibre
OMTD;Orne métropole Très Haut Débit
OUTR;Outremer Telecom
MAFI;Manche Fibre
MART;Martinique THD
CNCT;Connect 76
VDLF;Val de Loire Fibre
ANFI;Anjou Fibre
GAEL;Régie gaz et électricite de Bonneville
DP21;Département de la Côte d'Or
FI31;La Fibre 31
DP71;Département de Saône-et-Loire
HD66;THD66
REFH;Regie fibre optique de Falck et Hargarten
VTHD;Var Très Haut Débit
SY79;Deux-Sèvres Numérique
VIEN;Vienne Numérique
GERS;Gers numérique
DAUF;Dauphin Telecom
LOAN;Loire Atlantique Numérique
THDB;THD Bretagne
SYAN;"Syndicat des Energies et de l'Aménagement Numérique de la Haute-Savoie (SYANE) ; Tutor Haute-Savoie"
SFTT;SFR FttH
CORF;Corsica Fibra
THDD;THD64
SHSN;Haute-Saône Numérique
OCFI;Octogone Fibre
TARN;Tarn Fibre
DSDH;Covage Saône et Loire
RRTH;Régie Réunion THD
